"id","target","target_sentiment","companies_sentiment","consumers_sentiment","__split"
"903651604653596800","bitcoin","positive","neutral","positive","train"
"903649499167551360","EEUU","negative","negative","negative","train"
"903610169766051840","Gobierno","positive","positive","positive","train"
"903564916203954048","Rosell","positive","neutral","neutral","test"
"903513040649408384","Ibex 35","positive","positive","positive","test"
"903504620504350848","Ibex","positive","positive","positive","test"
"903350615765655552","WallStreet","positive","neutral","neutral","train"
"903306454567923584","España","positive","positive","positive","train"
"903281683797074048","Ibex 35","positive","positive","positive","train"
"903279562284556416","Ibex","neutral","neutral","neutral","train"
"903250055745982464","Wall Street","positive","neutral","neutral","train"
"903156633131417600","España","positive","positive","positive","train"
"903152248645197824","Ibex","positive","positive","positive","train"
"903150692071821056","Ibex 35","positive","positive","positive","test"
"902919879489187840","USD","positive","positive","positive","val"
"902877076906237952","DAX","positive","positive","neutral","train"
"902876500688605184","EEUU","positive","positive","positive","train"
"902875211782995968","EEUU","positive","positive","positive","test"
"902853442498170752","Telefónica","positive","neutral","neutral","train"
"902823338891935616","Acerinox","positive","neutral","neutral","train"
"902823223796141952","Alvalle","positive","neutral","positive","val"
"902803678641479552","Telefónica","positive","neutral","neutral","val"
"902788367548632960","Ibex 35","positive","positive","positive","test"
"902788301278588800","Ibex","positive","positive","positive","train"
"902779071049994240","oro","positive","neutral","neutral","train"
"902633051934658432","México","positive","positive","positive","test"
"902629304097496960","Dinamarca","neutral","positive","positive","test"
"902541554874769408","OHL","positive","neutral","neutral","train"
"902532677152247808","Wall Street","positive","positive","neutral","train"
"902489395789488000","ayuntamientos","positive","positive","positive","test"
"902427521165139968","Metales de tierras raras","positive","neutral","neutral","train"
"902209460474695552","Shenhua Group y China Guodian","positive","neutral","neutral","train"
"902186020778766336","Portugal","positive","positive","positive","val"
"902175474834694016","Tesla","neutral","neutral","neutral","train"
"902173953812201600","El Corte Inglés","positive","neutral","neutral","train"
"902163147498430464","Wall Street","positive","neutral","neutral","test"
"902143762356477952","Economía","neutral","neutral","neutral","train"
"902111969184014336","compraventa de viviendas","positive","neutral","neutral","val"
"902109101915766784","autónomos","positive","positive","positive","train"
"901772443676803200","El Corte Inglés","positive","neutral","neutral","test"
"912621313407234048","Siemens y Alstom","positive","neutral","neutral","val"
"912359598564139008","petróleo","positive","negative","negative","train"
"912272551455477632","dinar","negative","negative","negative","train"
"912254652804190208","sector turístico","positive","positive","positive","val"
"912249820504403968","Zara y el grupo Santander","positive","neutral","neutral","train"
"912234056615636992","sector inmobiliario","positive","neutral","neutral","train"
"911863676726075392","euro","positive","positive","positive","train"
"911320315686473600","S&amp;P","positive","neutral","neutral","train"
"911255752181932032","Petróleo","positive","positive","negative","val"
"911255001120559232","WallStreet","positive","positive","positive","train"
"911254119473729536","Ibex","positive","positive","positive","val"
"911246525552054400","Mercedes","positive","neutral","neutral","test"
"911173408582447232","España","positive","positive","positive","test"
"911155633470234624","zona euro","positive","positive","positive","test"
"911140775265734400","exportaciones","positive","positive","positive","train"
"911133643346780032","sector servicios","positive","positive","positive","train"
"911101657810964352","Madrid","positive","positive","positive","val"
"910893895403364352","Ibex","negative","negative","negative","val"
"910891388371390464","Ibex 35","negative","negative","negative","test"
"910799561081413632","Amazon","positive","neutral","neutral","val"
"910761133174337536","Ibex","positive","positive","positive","test"
"910760979537022848","Ibex 35","positive","positive","positive","test"
"910751744275222400","futuros europeos","positive","positive","positive","train"
"910609411365884032","Bolivia","positive","positive","positive","test"
"910566787745542016","FED","neutral","positive","positive","test"
"910532011407835136","criptodivisas","positive","neutral","positive","train"
"910529577075736448","Ibex 35","positive","positive","positive","train"
"910413236880789632","Inditex","positive","neutral","neutral","train"
"910386225189736448","Inditex","positive","neutral","neutral","val"
"910377798287659008","Inditex","positive","neutral","neutral","train"
"910201776690929664","funcionarios","positive","neutral","neutral","test"
"910198806255243264","Telepizza","positive","neutral","neutral","val"
"910172519923093632","Ibex","positive","positive","positive","test"
"910145133164863360","Toys 'R' Us","positive","neutral","neutral","train"
"910135518721134592","Wall Street","positive","positive","neutral","train"
"924932102524727168","economía española","positive","positive","positive","train"
"924911365759930368","PIB","neutral","neutral","neutral","val"
"924901734912282624","Bankia","positive","neutral","neutral","train"
"924774949771935616","banca","positive","positive","positive","val"
"925037712050212864","Zinkia","positive","neutral","neutral","train"
"924691355439210368","EuroStoxx","positive","neutral","neutral","train"
"924261949646491648","Repsol","neutral","neutral","neutral","val"
"924238510344765440","Seat","positive","neutral","neutral","test"
"924009458291879936","Wall Street","positive","positive","neutral","train"
"923801663877582848","bolsa europea","positive","positive","neutral","val"
"923797231123271552","UBS","positive","neutral","neutral","train"
"923795437622046848","BBVA","positive","neutral","neutral","test"
"923794486488158208","Sabadell","positive","neutral","neutral","train"
"923794364047986560","Google","positive","neutral","neutral","train"
"923793536369217536","BBVA","positive","neutral","neutral","train"
"923791693077467136","Sabadell","positive","neutral","neutral","val"
"923791506158256000","BBVA","positive","neutral","neutral","test"
"923668079497838592","Intel","positive","neutral","neutral","val"
"923648887826640768","Alphabet","positive","neutral","neutral","test"
"923612105223409664","Legoland","positive","neutral","neutral","train"
"923581372639391616","Ibex","positive","positive","positive","train"
"923577122437980032","BCE","positive","positive","positive","train"
"923574945745178624","Ibex 35","positive","positive","positive","val"
"923539308212080640","Ibex 35","positive","positive","positive","train"
"923498680480563200","Ibex 35","positive","positive","positive","train"
"923428201560526848","Telefónica","positive","neutral","neutral","train"
"923423305813676032","Banco Santander","positive","neutral","neutral","val"
"923221955293180032","Visa","positive","neutral","neutral","train"
"923220448057446400","Boeing","positive","neutral","neutral","train"
"923133686374994048","Alemania","positive","positive","positive","train"
"922924475426860800","inversores extranjeros","positive","positive","positive","train"
"922916797069668352","Wall Street","positive","positive","neutral","val"
"922908250567250048","Commerzbank","positive","neutral","neutral","val"
"922849945849384832","Ibex 35","positive","positive","positive","train"
"922713976835846016","CaixaBank","positive","neutral","neutral","train"
"922709353047756800","bolsas europeas","positive","positive","neutral","val"
"922706633976934400","CaixaBank","positive","neutral","neutral","train"
"922415886002159616","Samsung","positive","neutral","neutral","val"
"922414979399212800","Lombardía y Véneto","neutral","neutral","neutral","train"
"922389429112754048","España y Emiratos Árabes","positive","positive","positive","train"
"922372543759175552","Abertis","positive","neutral","neutral","train"
"922369173048778752","Liberbank","positive","neutral","neutral","val"
"922083619597938560","AC Hoteles","positive","neutral","neutral","val"
"922037475366883200","Renfe","positive","positive","positive","train"
"922016018565861248","China","positive","positive","positive","val"
"921772387162574848","exportación","positive","positive","positive","val"
"921692665598660608","China","positive","positive","positive","test"
"921435628625162240","Bitcoin","positive","neutral","positive","train"
"921402438371958784","Ibex","positive","positive","positive","test"
"925303169609011200","Ibex","positive","positive","positive","train"
"925281168014094336","Acerinox","positive","neutral","neutral","train"
"925267336520748800","Acerinox","positive","neutral","neutral","train"
"925251387558113152","Ibex 35","positive","positive","positive","train"
"925054698788441984","Clínica Baviera","positive","neutral","neutral","train"
"925040852023562240","Ibex","positive","positive","positive","train"
"927808397767999360","Ibex 35","positive","positive","positive","train"
"927666897709096832","Trump","positive","positive","positive","train"
"927580742439309056","WallStreet","positive","positive","negative","train"
"927498318288211968","Amadeus","positive","neutral","neutral","train"
"927138158134939648","China","positive","positive","positive","val"
"927129612768956416","Porsche","positive","neutral","neutral","train"
"927120845872549760","""fintech""","positive","neutral","neutral","train"
"926799599947235200","Pemex","positive","neutral","neutral","train"
"926798950803361792","formación a distancia","positive","neutral","neutral","train"
"926427163036999552","EEUU","positive","positive","positive","train"
"926410422479093632","Apple","positive","neutral","neutral","train"
"926194785475530752","Apple","positive","neutral","neutral","train"
"926146182451269632","WallStreet","positive","neutral","neutral","train"
"926128087464636416","Ibex 35","positive","positive","positive","test"
"926074044704796800","bitcoin","positive","neutral","positive","train"
"926031357880434560","Sareb","neutral","neutral","neutral","train"
"926024447567585152","España","positive","positive","positive","train"
"926023218888171648","Eurozona","positive","positive","positive","train"
"926005503334940800","Abengoa","positive","neutral","neutral","val"
"925998716049338368","USD y GBP","positive","positive","positive","val"
"925991494305091584","Grifols","positive","neutral","neutral","train"
"925986848534679552","Bitcoin","positive","neutral","positive","test"
"925983563585027968","Red Eléctrica","positive","neutral","neutral","train"
"925792757439922048","EEUU","positive","positive","positive","test"
"925791841643106432","FED","neutral","neutral","neutral","train"
"925757844640665600","Bitcoin","positive","neutral","positive","test"
"925748554479624192","The New York Times","positive","neutral","neutral","train"
"925733253029552000","petróleo","positive","negative","negative","test"
"925640382582534016","Ibex","positive","positive","positive","train"
"925639968856461056","DAX","positive","positive","positive","train"
"925635107637129216","Ibex 35","positive","positive","positive","test"
"925453007604670464","Wall Street","positive","positive","neutral","test"
"925435082755723264","Talgo","positive","neutral","neutral","train"
"925406458388336640","Just Eat","positive","neutral","neutral","train"
"925401856255381632","Ibex 35","positive","positive","positive","train"
"925368612659105792","España","positive","positive","positive","val"
"927817412849922048","Grifols, Inditex y Viscofan","positive","neutral","neutral","val"
"928309585684942848","Meliá","positive","neutral","neutral","train"
"928301279822143360","Ibex 35","neutral","neutral","neutral","train"
"927983159937064832","Grupo San José","positive","neutral","neutral","val"
"927979452289748992","Ferrovial","positive","neutral","neutral","train"
"927938569091604352","Ibex 35","positive","positive","positive","test"
"928533313362546560","Ibex","positive","positive","positive","val"
"928954159172374400","China","positive","positive","positive","test"
"928944358161879040","Allianz","positive","neutral","neutral","val"
"928895905792692224","Ibex","neutral","neutral","neutral","train"
"928655183189561216","UE","positive","positive","positive","train"
"928606077809188864","China y Estados Unidos","positive","positive","positive","test"
"930709385621528448","Japón","positive","positive","positive","train"
"930697184013668352","Bitcoin","positive","neutral","positive","test"
"930694639333539840","Merlin","positive","neutral","neutral","train"
"930501411590360960","Iberdrola","positive","neutral","neutral","train"
"930477541638529024","Sareb","positive","neutral","neutral","val"
"930475476329680768","The Home Depot","positive","neutral","neutral","train"
"930463232665571200","Europa","positive","positive","positive","train"
"930429214381297664","Trump","positive","positive","positive","val"
"930418821076275200","Gobierno","neutral","neutral","neutral","train"
"930414770003611648","españoles","positive","positive","positive","train"
"930369744615673600","España","positive","positive","positive","train"
"930345276459618432","Ibex","neutral","neutral","neutral","val"
"930340428251123584","Abengoa","positive","neutral","neutral","train"
"930332021838278400","Cellnex","positive","neutral","neutral","train"
"930179515476791168","Wall Street","positive","positive","neutral","test"
"930150133727186944","bolsas europeas","positive","positive","positive","train"
"930029695755870208","Ayuntamiento de Madrid","neutral","neutral","neutral","val"
"930004796853116800","España","positive","positive","positive","train"
"929982923016736768","Ibex","positive","positive","positive","train"
"929982715113426944","Ibex 35","positive","positive","positive","train"
"929969030806589440","bitcoin","positive","neutral","positive","train"
"929965050760228864","Deutsche Bank","positive","neutral","neutral","train"
"929832839574585216","Cataluña","positive","positive","positive","train"
"929662226134319232","campaña navideña","positive","positive","positive","val"
"929276119894953984","Xiaomi","positive","neutral","positive","val"
"930901843319934848","España","positive","positive","positive","val"
"930864980429328384","España","positive","positive","positive","test"
"930852646608605184","Quabit","positive","neutral","neutral","train"
"930828669718876032","Ibex 35","negative","negative","negative","val"
"930822207953145600","Ibex","negative","negative","negative","train"
"931419910244388864","Ibex","positive","positive","positive","test"
"931280743233232768","EEUU","positive","positive","positive","train"
"931267838618284032","Wall Street","positive","positive","neutral","train"
"931173034446204800","Orange","positive","neutral","neutral","val"
"931069763060752384","Ibex","positive","positive","positive","train"
"931059429277093760","Ibex","neutral","neutral","neutral","train"
"932223803006050432","socimis","positive","neutral","neutral","train"
"932205964111081600","Abertis","positive","neutral","neutral","train"
"931577800242450432","Francia","positive","positive","positive","train"
"931572683522920448","España","positive","positive","positive","train"
"931562413748637568","Ibex 35","positive","positive","positive","test"
"931476683735158784","Portugal","positive","positive","positive","train"
"931453098836529152","Ibex","positive","positive","positive","test"
"935046201497579648","bitcoin","positive","neutral","positive","train"
"934775572290400000","yuan","positive","positive","positive","train"
"934099097195249664","Ibex 35","positive","positive","positive","val"
"934028868666748800","Ibex","positive","positive","positive","train"
"934028519847448448","bitcoins","positive","neutral","positive","test"
"934020804374876032","Ibex 35","positive","positive","positive","train"
"933979838586802048","empresas","positive","positive","positive","test"
"933968707575058432","Ibex 35","positive","positive","positive","train"
"933828774608720000","Abengoa","positive","neutral","neutral","train"
"933819306911129600","CaixaBank","positive","neutral","neutral","train"
"933771724432334848","eDreams","positive","neutral","neutral","train"
"933770861089362048","Imaginarium","positive","neutral","neutral","train"
"933647348978372608","Atresmedia","positive","neutral","neutral","train"
"933606915183136768","bolsa española","positive","positive","positive","test"
"933374748683374592","Ibex 35","positive","positive","positive","test"
"933343256259149824","China","positive","positive","positive","test"
"933301128699240448","Comisión Europea","neutral","positive","positive","train"
"933245309655715840","bitcoin","neutral","neutral","neutral","train"
"933041446675976192","DAX","positive","positive","positive","train"
"933039750260383616","España","positive","positive","positive","train"
"933038304177426432","MediaMarkt","positive","neutral","neutral","test"
"932980854875459584","Wall Street","positive","positive","neutral","test"
"932693978436292608","Ibex","positive","positive","positive","train"
"932668536480296832","MásMóvil","positive","neutral","neutral","val"
"932649791569448832","Ibex 35","positive","positive","positive","train"
"932623696862285824","bitcoin","positive","neutral","positive","train"
"932583630408478848","NH","positive","neutral","neutral","test"
"932583082137354240","Alibaba","positive","neutral","neutral","train"
"932576939688255360","NH Hotel","positive","neutral","neutral","val"
"932557359758618624","España","positive","positive","positive","train"
"932547510425587584","Movistar","positive","neutral","neutral","train"
"935783482953003008","Colonial","positive","neutral","neutral","train"
"935781978477080448","Ibex","positive","positive","positive","train"
"935780627366006784","Ibex 35","positive","positive","positive","val"
"935599385802629248","comercios","positive","positive","neutral","train"
"935556111125671936","español","positive","positive","positive","train"
"935553920168062848","WallStreet","positive","positive","neutral","train"
"935553316469268352","Ibex","positive","positive","positive","val"
"935548401525100416","Ibex 35","positive","positive","positive","train"
"935471846585192448","Siemens Gamesa","positive","neutral","neutral","val"
"935408360257736832","Scotiabank","positive","neutral","neutral","train"
"935102767684665216","Vietnam","positive","positive","positive","train"
"935096490288124032","bitcoin","positive","neutral","positive","test"
"937593188004503552","Mineral de hierro y acero","positive","negative","negative","val"
"937586250143469568","Repsol","neutral","neutral","neutral","train"
"937339958615973760","bolsas europeas","positive","positive","positive","train"
"937253747444604800","Bitcoin","positive","neutral","positive","train"
"937243770277548032","Gobierno","positive","positive","positive","val"
"937242818728349568","Ibex","neutral","neutral","neutral","train"
"936956138402312192","EEUU","positive","positive","positive","train"
"936923566221725568","América Latina","positive","positive","positive","train"
"936912142573248384","ACS","positive","neutral","neutral","train"
"936660128434024448","Santander","positive","neutral","neutral","val"
"936599645492514816","bitcoin","positive","positive","positive","train"
"936505946746118016","Ibex","positive","positive","positive","train"
"936372922658193408","bancos","neutral","positive","positive","train"
"936340827705692032","Dow Jones","positive","positive","neutral","val"
"936203334469419008","WallStreet","positive","positive","neutral","train"
"936153412420370432","economía española","positive","positive","positive","test"
"936143257217781632","Ibex","positive","positive","positive","train"
"936134373094674432","bitcoin","positive","positive","positive","test"
"936133237390311424","Dow Jones","positive","positive","neutral","val"
"936132456373211136","futuros europeos","positive","positive","positive","val"
"935941335265218432","Alibaba","positive","neutral","neutral","train"
"935833616508211200","consumidores","positive","positive","positive","test"
"935829477287919616","Santander","positive","neutral","neutral","test"
"935824069328560000","jubilados autónomos","positive","positive","positive","test"
"935823071486803968","Ibex","positive","positive","positive","val"
"935797467521732608","Parques Reunidos","positive","neutral","neutral","test"
"904785650226003968","Hacienda","positive","positive","positive","train"
"904759465810968448","Iberia","positive","neutral","positive","train"
"904604565852565632","contratación indefinida","positive","positive","positive","val"
"904306273327476736","Abertis","positive","neutral","neutral","train"
"904295975317110784","parados","positive","neutral","positive","train"
"904253592567246848","bolsa","positive","positive","positive","train"
"904245367138656000","cotizadas chinas","positive","positive","positive","val"
"903919000000000000","Brasil","positive","positive","positive","train"
"903909067780972416","empresas británicas","positive","positive","negative","val"
"903716088973807616","Wall Street","positive","positive","neutral","test"
"903649784615108608","WallStreet","positive","positive","neutral","train"
"903638354172026752","coches particulares","positive","neutral","positive","train"
"903615079962341248","FactorInvesting","positive","neutral","neutral","train"
"903546745526910848","EuroZona","positive","positive","positive","train"
"903545985938460800","España","negative","negative","negative","train"
"903540462153121792","BRIC","positive","neutral","neutral","train"
"903537569018896384","Macron","positive","positive","positive","train"
"903532887835688832","Trump","positive","positive","positive","train"
"903347369386881024","Wall Street","positive","positive","neutral","val"
"903300225829351424","Popular","positive","neutral","neutral","val"
"903291348727554048","EE UU","positive","positive","positive","test"
"903282161003913216","datos macro económicos","positive","positive","positive","train"
"903281537013223424","Ibex","neutral","neutral","neutral","test"
"903211005886558208","El Prat","positive","neutral","positive","test"
"903187850853789568","hipotecas","positive","positive","positive","val"
"902989999251103616","Banco Popular","positive","neutral","neutral","train"
"902985183753842560","Wall Street","positive","positive","neutral","val"
"902974906064920448","Eurocámara","positive","positive","positive","val"
"902936806756319232","Brasil","positive","positive","positive","test"
"902905773633757184","China","positive","positive","positive","test"
"902891739987500800","AENA","positive","positive","positive","test"
"902887841168068608","Wall Street","positive","positive","neutral","train"
"902873551606304768","€Zona","positive","positive","positive","train"
"902568921966018432","euro","positive","positive","positive","train"
"902516958045888384","Pacífico","positive","positive","positive","train"
"902506146069704832","vivienda usada","positive","positive","positive","test"
"902468677211180800","Tim Cook","positive","neutral","neutral","train"
"902459437700534400","oro","positive","positive","positive","val"
"902458681111056384","Neinor Homes","positive","neutral","neutral","train"
"902439929954918400","oro","positive","positive","positive","train"
"902413911047196800","Madrid","positive","positive","positive","train"
"902158855915888640","exportación de vino","positive","positive","positive","test"
"902145216236457984","Fráncfort","positive","positive","positive","val"
"902137585514028800","Coca-Cola","positive","neutral","neutral","val"
"902120776052220032","Islandia","positive","positive","positive","test"
"902093742592729216","Alemania","positive","positive","positive","train"
"902078190721667200","España","positive","positive","positive","train"
"905012155870830592","Rovio","positive","neutral","neutral","val"
"905000181170671616","Amazon","positive","neutral","neutral","train"
"905016807349727232","zona euro","positive","positive","positive","test"
"912617409344868352","Japón","positive","positive","positive","train"
"912598497328742400","Baltic Dry","positive","neutral","neutral","train"
"912579646054649600","españoles","positive","neutral","positive","train"
"912563771813584768","oro","positive","positive","positive","train"
"912381893345193984","políticas keynesiana","negative","positive","positive","train"
"912343931471503232","bolsas europeas","neutral","neutral","neutral","train"
"912265616974925824","Trump","positive","positive","positive","train"
"912207739920711552","empresas familiares","positive","positive","positive","train"
"911976235332497408","empresas de neumáticos","positive","neutral","neutral","train"
"911918205513453568","Liberbank","positive","neutral","neutral","val"
"911890686848454400","España","positive","positive","positive","train"
"911570718361517952","cine","positive","positive","positive","train"
"911532749990875136","Alstom","positive","neutral","neutral","train"
"911212992603209600","petróleo","positive","negative","negative","train"
"911197122309083136","Presupuestos","positive","positive","positive","val"
"911159665798652032","empleos","positive","positive","positive","train"
"911112077485461632","funcionarios catalanes","positive","neutral","positive","train"
"910947761595584384","El Corte Inglés","neutral","neutral","neutral","test"
"910885231338643200","Carrefour España","positive","positive","positive","test"
"910854098546712448","China","positive","positive","positive","val"
"910827199191814016","coches eléctricos","positive","positive","positive","val"
"910781179749654400","Coca-Cola","neutral","neutral","neutral","train"
"910773928527826944","funcionarios","positive","neutral","positive","test"
"910769372301586432","Google","positive","neutral","neutral","val"
"910751213016231936","WallStreet","positive","positive","neutral","train"
"910530286550749184","plazas europeas","neutral","neutral","neutral","train"
"910528792703258624","Madrid","positive","positive","positive","test"
"910506839414067200","Nueva York","positive","positive","positive","val"
"910486058940452864","Dow Jones","positive","positive","positive","train"
"910458851161526400","Arabia Saudí","positive","positive","positive","test"
"910431507323478016","ThyssenKrupp y Tata Steel","positive","neutral","neutral","train"
"910422221759315968","deudores hipotecarios","positive","positive","positive","val"
"910392757725941632","UE","positive","positive","positive","train"
"910389499083010048","Nikkei","positive","positive","positive","train"
"910388491577634816","WallStreet","positive","positive","neutral","test"
"910387102394802048","Inditex","positive","neutral","positive","test"
"910233273363828736","WallStreet","positive","positive","neutral","train"
"910188599060156416","Airbnb","positive","neutral","neutral","val"
"910174097224687616","WallStreet","positive","positive","positive","train"
"910172184630480768","bolsas europeas","positive","positive","positive","train"
"910156175970324352","Ryanair","positive","neutral","neutral","test"
"910143083878211584","l'Hospitalet","positive","positive","positive","train"
"910120052959121408","Barcelona","positive","positive","positive","test"
"910096239479394432","Ibex 35","positive","positive","positive","test"
"925022173944786944","Ibex","positive","positive","positive","train"
"924969362678861824","Europa","positive","positive","positive","train"
"924885913431363584","FAANG","positive","neutral","neutral","train"
"924688300132024448","materias primas industriales","positive","negative","negative","test"
"924628035734777600","Amancio Ortega","positive","neutral","neutral","train"
"924198029715964032","EasyJet","positive","neutral","positive","train"
"923943507009658752","WallStreet","positive","positive","positive","train"
"923917160426147840","EEUU","positive","positive","positive","test"
"923807358253445248","Ibex 35","positive","positive","positive","train"
"923806846711992448","Ibex","neutral","neutral","neutral","val"
"923780075073556352","amazon","positive","neutral","neutral","train"
"923600031885807616","Virgin","positive","positive","positive","train"
"923591884806729600","Ferrovial","positive","neutral","neutral","val"
"923582283864567808","WallStreet","positive","positive","neutral","test"
"923578771776659200","Ibex","positive","positive","positive","train"
"923534504685383552","eurozona","positive","positive","positive","test"
"923505979945340800","rescate europeo","neutral","neutral","neutral","train"
"923470397101637632","construcción","positive","positive","positive","val"
"923453262594035584","Deutsche Bank","positive","neutral","neutral","train"
"923122227519910016","Liberbank","positive","neutral","neutral","train"
"923121821641256832","ESP","positive","positive","positive","train"
"923115434131509248","PIB británico","positive","positive","positive","test"
"923095617626394624","Cepsa","positive","neutral","neutral","train"
"923079843780218752","Acciona","positive","neutral","neutral","val"
"922896642524831616","EEUU","neutral","neutral","neutral","train"
"922706375188369408","CaixaBank","positive","neutral","neutral","train"
"922491814241763200","Amazon","neutral","neutral","neutral","test"
"922377307536482432","Nikkei","positive","positive","positive","train"
"922376727250300800","Administración","neutral","positive","positive","test"
"922348460678041600","Nikkei","positive","positive","positive","test"
"922034867847794560","OHL","positive","neutral","neutral","train"
"922031173487996800","España","positive","positive","positive","train"
"921853648933654400","Portugal","neutral","positive","positive","train"
"921697969753153536","Gobierno español","neutral","neutral","neutral","train"
"921668035290845184","Madrid y Barcelona","positive","positive","positive","val"
"921663984994004992","Madrid y Barcelona","positive","positive","positive","test"
"921661758837854208","Ibex","neutral","neutral","neutral","val"
"921467483088973824","Wall Street","positive","positive","neutral","train"
"921406397010644992","OCDE","positive","neutral","neutral","val"
"921405448070233984","WallStreet","positive","positive","neutral","val"
"925322286445531136","coche autónomo","positive","positive","positive","train"
"925295837290422400","Siemens Gamesa","positive","neutral","neutral","train"
"925261037896691584","Ibex","positive","positive","positive","train"
"925118083039137792","EEUU","positive","positive","positive","test"
"925109881421648000","Renault-Nissan-Mitsubishi","positive","neutral","neutral","train"
